2026-05-07 23:26:04 | INFO | app.camera.stream | Camera stream started
2026-05-07 23:26:04 | ERROR | app.camera.stream | Unable to open camera source
2026-05-07 23:26:07 | ERROR | app.camera.stream | Unable to open camera source
2026-05-07 23:26:11 | INFO | app.camera.stream | Camera source opened
2026-05-07 23:26:12 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:12 | INFO | app.camera.manager | Motion snapshot saved
2026-05-07 23:26:12 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:14 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:14 | INFO | app.camera.manager | Motion snapshot saved
2026-05-07 23:26:14 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:16 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:16 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:16 | INFO | app.camera.manager | Motion snapshot saved
2026-05-07 23:26:16 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:16 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:16 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:16 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:16 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:16 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:16 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:16 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:17 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:17 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:17 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:17 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:17 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:17 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:17 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:17 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:18 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:18 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:18 | INFO | app.camera.manager | Motion snapshot saved
2026-05-07 23:26:18 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:18 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:18 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:18 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:18 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:18 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:18 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:19 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:19 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:19 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:19 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:20 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:20 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:20 | INFO | app.camera.manager | Motion snapshot saved
2026-05-07 23:26:20 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:20 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:20 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:20 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:20 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:20 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:20 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:21 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:21 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:21 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:21 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:21 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:21 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:23 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:23 | INFO | app.camera.manager | Motion snapshot saved
2026-05-07 23:26:23 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:23 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:23 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:23 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:23 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:23 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:23 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:23 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:24 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:24 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:24 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:24 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:24 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:24 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:24 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:24 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:24 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:24 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:25 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:25 | INFO | app.vision.pipeline | Motion detected
2026-05-07 23:26:25 | INFO | app.camera.manager | Motion snapshot saved
